Program ID,YÖK Atlas Baðlantýsý,Üniversite,Fakülte,Program Adý,Program Kabul Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,"Ünivers,teTürü",Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjaný,2022 Yýlý Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Dil Puanlarý.Üniversite Türü,Dil Puanlarý.Üniversite,Dil Puanlarý.Fakülte / Yüksekokul,Dil Puanlarý.Puan Türü,Dil Puanlarý.Burs Türü,Dil Puanlarý.Genel Kontenjan,Dil Puanlarý.Okul Birincisi Kontenjaný,Dil Puanlarý.Toplam Kontenjan **,Dil Puanlarý.Genel Kontenjana Yerleþen,Dil Puanlarý.Okul Birincisi Kontenjanýna Yerleþen,Dil Puanlarý.Toplam Yerleþen,Dil Puanlarý.Boþ Kalan Kontenjan,Dil Puanlarý.Ýlk Yerleþme Oraný,Dil Puanlarý.Yerleþip Kayýt Yaptýrmayan,Dil Puanlarý.Ek Yerleþen,"Dil Puanlarý.0,12 Katsayý ile Yerleþen Son Kiþinin Puaný *","Dil Puanlarý.0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný *","Dil Puanlarý.0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","Dil Puanlarý.0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","Dil Puanlarý.2023 Tavan Puan(0,12) *","Dil Puanlarý.2023 Tavan Baþarý Sýrasý(0,12) *",Dil Puanlarý.2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý *,Dil Puanlarý.Yerleþenlerin Ortalama OBP'si *,Dil Puanlarý.Yerleþenlerin Ortalama Diploma Notu *
111790360,https://yokatlas.yok.gov.tr/lisans.php?y=111790360,ANKARA HACI BAYRAM VELÝ ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Çin Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=111790360,(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,32,,,,29286,,,,397.66244,,,,32,,,,Devlet,ANKARA HACI BAYRAM VELÝ ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,30,1,32,31,,32,0,1,1,1,397.66244,,29286,,431.25795,16433,4,414.308,82.9
103190649,https://yokatlas.yok.gov.tr/lisans.php?y=103190649,DOKUZ EYLÜL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Rus Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=103190649,(Rusça)(4 Yýllýk),ÝZMÝR,Devlet,Ücretsiz,Örgün,Doldu#,32,31,,,29862,34464,,,396.25711,370.51343,,,32,31,,,Devlet,DOKUZ EYLÜL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,30,1,32,31,,32,0,1,2,2,396.25711,,29862,,463.44637,7861,4,418.711,83.7
202190203,https://yokatlas.yok.gov.tr/lisans.php?y=202190203,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,"Ýngilizce, Fransýzca Mütercim ve Tercümanlýk",https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202190203,(Ücretli)(4 Yýllýk),ANKARA,Vakýf,Ücretli,Örgün,Doldu#,10,,,,30740,,,,394.19494,,,,10,,,,Vakýf,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,DÝL,Ücretli,10,,10,10,,10,0,1,1,1,394.19494,,30740,,446.95433,11640,,438.683,87.7
202210393,https://yokatlas.yok.gov.tr/lisans.php?y=202210393,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202210393,(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,51,34,,,33276,29245,,,388.13273,384.85246,,,51,34,,,Vakýf,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,%50 Ýndirimli,51,,51,51,,51,0,1,1,,388.13273,,33276,,425.93569,18302,5,396.072,79.2
101890245,https://yokatlas.yok.gov.tr/lisans.php?y=101890245,BAYBURT ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101890245,(4 Yýllýk),BAYBURT,Devlet,Ücretsiz,Örgün,Doldu#,62,62,,,35672,28305,,,382.62544,387.3619,,,62,62,,,Devlet,BAYBURT ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,Ücretsiz,60,2,62,61,1,62,0,1,2,2,382.62544,,35672,,397.08821,29497,6,394.64,78.9
103090226,https://yokatlas.yok.gov.tr/lisans.php?y=103090226,DÝCLE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Ýngiliz Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=103090226,(4 Yýllýk),DÝYARBAKIR,Devlet,Ücretsiz,Örgün,Doldu#,67,52,,,36749,36522,,,380.03031,365.03076,,,67,52,,,Devlet,DÝCLE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,50,2,67,51,1,67,0,1,,,380.03031,,36749,,451.62559,10493,8,414.186,82.8
112190235,https://yokatlas.yok.gov.tr/lisans.php?y=112190235,TRABZON ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,Ýngilizce Mütercim ve Tercümanlýk (Yüksekokul),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=112190235,(4 Yýllýk),TRABZON,Devlet,Ücretsiz,Örgün,Doldu#,32,,,,37830,,,,377.54297,,,,32,,,,Devlet,TRABZON ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,DÝL,Ücretsiz,30,1,32,31,,32,0,1,4,1,377.54297,,37830,,434.07675,15482,2,413.684,82.7
101190432,https://yokatlas.yok.gov.tr/lisans.php?y=101190432,ANKARA ÜNÝVERSÝTESÝ,Açýk ve Uzaktan Eðitim Fakültesi,Sinoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101190432,(Uzaktan Öðretim)(4 Yýllýk),ANKARA,Devlet,UÖ-Ücretli,Uzaktan,Doldu#,106,103,103,57,38326,43195,53830,,376.43428,347.59155,269.01595,,106,103,103,103,Devlet,ANKARA ÜNÝVERSÝTESÝ,Açýk ve Uzaktan Eðitim Fakültesi,DÝL,UÖ-Ücretli,100,3,106,103,,106,0,1,16,5,376.43428,,38326,,502.61579,2425,40,414.702,82.9
107290450,https://yokatlas.yok.gov.tr/lisans.php?y=107290450,MARMARA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,Almanca Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=107290450,(KKTC Uyruklu)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,1,1,,,40910,96589,,,370.52133,228.18435,,,1,1,,,Devlet,MARMARA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,DÝL,Ücretsiz,1,,1,1,,1,0,1,,,370.52133,,40910,,370.52133,40910,,381.5,76.3
204090125,https://yokatlas.yok.gov.tr/lisans.php?y=204090125,KTO KARATAY ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,Ýngilizce Mütercim ve Tercümanlýk (Yüksekokul),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090125,(%50 Ýndirimli)(4 Yýllýk),KONYA,Vakýf,%50 Ýndirimli,Örgün,Doldu#,15,31,40,31,43037,53888,55720,,365.76903,320.85787,263.75859,,15,31,40,40,Vakýf,KTO KARATAY ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,DÝL,%50 Ýndirimli,15,,15,15,,15,0,1,,,365.76903,,43037,,401.52288,27694,1,405.067,81
202210349,https://yokatlas.yok.gov.tr/lisans.php?y=202210349,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Ýngiliz Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202210349,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,38,38,34,,43296,44366,51063,,365.15008,344.63542,276.94689,,38,38,34,,Vakýf,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,%50 Ýndirimli,38,,38,38,,38,0,1,2,,365.15008,,43296,,423.52726,19146,3,396.957,79.4
206552534,https://yokatlas.yok.gov.tr/lisans.php?y=206552534,ÜSKÜDAR ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,Ýngilizce Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=206552534,(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,51,42,34,,44950,43707,60229,,361.34155,346.22069,251.33564,,51,42,34,,Vakýf,ÜSKÜDAR ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,DÝL,%50 Ýndirimli,51,,51,51,,51,0,1,3,,361.34155,,44950,,431.35716,16399,4,396.171,79.2
111210067,https://yokatlas.yok.gov.tr/lisans.php?y=111210067,GAZÝANTEP ÝSLAM BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,Ýngilizce Mütercim ve Tercümanlýk (Yüksekokul),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=111210067,(4 Yýllýk),GAZÝANTEP,Devlet,Ücretsiz,Örgün,Doldu#,40,,,,45493,,,,360.10651,,,,40,,,,Devlet,GAZÝANTEP ÝSLAM BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Yabancý Diller Yüksekokulu,DÝL,Ücretsiz,30,1,40,31,,40,0,1,3,1,360.10651,,45493,,387.47071,33579,2,404.774,81
