Program ID,Üniversite,Fakülte,YOK Atlas Baðlantýsý,Program Adý,Program Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,Üniversite Türü,Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjan,2022 Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Eþit Aðýrlýk Puanlarý.Fakülte / Yüksekokul,Puan Türü,Burs Türü,2023 Yýlý Genel Kontenjan,2023 Yýlý Okul Birincisi Kontenjaný,2023 Yýlý Toplam Kontenjaný,2023 Yýlý Genel Kontenjana Yerleþen,2023 Yýlý Okul Birincisi Kontenjanýna Yerleþen,2023 Yýlý Toplam Yerleþen,2023 Yýlý Boþ Kalan Kontenjan,2023 Yýlý Ýlk Yerleþme Oraný,2023 Yýlý Yerleþip Kayýt Yaptýrmayan,2023 Yýlý Ek Yerleþen,"2023 Yýlý 0,12 Katsayý ile Yerleþen Son Kiþinin Puaný *","2023 Yýlý 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný *","2023 Yýlý 0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","2023 Yýlý 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlý Tavan Puan(0,12 Katsayýsý ile) *","2023 Yýlý Tavan Baþarý Sýrasý(0,12 Katsayýsý ile) *",2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý,2023 Yýlýnda Yerleþenlerin Ortalama OBP'si *,2023 Yýlýnda Yerleþenlerin Ortalama Diploma Notu *
204090293,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090293,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090293,(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu,11,,,,71135,,,,385.20906,,,,13,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,Burslu,10,,13,10,,11,2,84.60%,,,385.20906,,71135,,422.70751,18133,,441.566,88.3
110190119,YILDIZ TEKNÝK ÜNÝVERSÝTESÝ,Ýktisadi ve Ýdari Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=110190119,Ýktisat,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110190119,(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,106,,,,79271,,,,381.23125,,,,106,,,,Ýktisadi ve Ýdari Bilimler Fakültesi,Eþit Aðýrlýk,Ücretsiz,100,3,106,100,3,106,0,100.00%,1,1,381.23125,,79271,,430.88443,12535,5,427.779,85.6
209510159,ANKARA BÝLÝM ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=209510159,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=209510159,(Burslu)(4 Yýllýk),ANKARA,Vakýf,Burslu,Örgün,Doldu#,8,,,,88572,,,,376.98201,,,,8,,,,Ýnsan ve Toplum Bilimleri Fakültesi,Eþit Aðýrlýk,Burslu,6,,8,6,,8,0,100.00%,,,376.98201,,88572,,382.35093,76855,1,435.793,87.2
201490136,FATÝH SULTAN MEHMET VAKIF ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=201490136,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201490136,(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,127,,,,94175,,,,374.48347,,,,127,,,,Hukuk Fakültesi,Eþit Aðýrlýk,%50 Ýndirimli,127,,127,127,,127,0,100.00%,1,1,374.48347,,94175,,414.4487,26042,11,422.81,84.6
210000241,MUDANYA ÜNÝVERSÝTESÝ,Sanat ve Sosyal Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=210000241,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=210000241,(Ýngilizce)(Burslu)(4 Yýllýk),BURSA,Vakýf,Burslu,Örgün,Doldu#,8,,,,100089,,,,371.9178,,,,8,,,,Sanat ve Sosyal Bilimler Fakültesi,Eþit Aðýrlýk,Burslu,6,,8,6,,8,0,100.00%,,,371.9178,,100089,,389.32397,63186,,427.678,85.5
209510124,ANKARA BÝLÝM ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=209510124,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=209510124,(%50 Ýndirimli)(4 Yýllýk),ANKARA,Vakýf,%50 Ýndirimli,Örgün,Doldu#,48,,,,112481,,,,366.84644,,,,48,,,,Hukuk Fakültesi,Eþit Aðýrlýk,%50 Ýndirimli,48,,48,48,,48,0,100.00%,2,2,366.84644,,112481,,390.97724,60270,5,434.614,86.9
204090419,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090419,Uluslararasý Ticaret ve Lojistik (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090419,(Ýngilizce)(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu#,7,,,,115558,,,,365.63359,,,,7,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,Burslu,5,,7,5,,7,0,100.00%,,,365.63359,,115558,,416.19903,24163,1,455.892,91.2
104070063,GALATASARAY ÜNÝVERSÝTESÝ,Ýktisadi ve Ýdari Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=104070063,Siyaset Bilimi,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=104070063,(Fransýzca)(KKTC Uyruklu)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,1,,,,119900,,,,364.01128,,,,1,,,,Ýktisadi ve Ýdari Bilimler Fakültesi,Eþit Aðýrlýk,Ücretsiz,1,,1,1,,1,0,100.00%,,,364.01128,,119900,,364.01128,119900,,491.389,98.3
204610464,NUH NACÝ YAZGAN ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=204610464,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204610464,(Ücretli)(4 Yýllýk),KAYSERÝ,Vakýf,Ücretli,Örgün,Doldu#,38,,,,120528,,,,363.77351,,,,38,,,,Hukuk Fakültesi,Eþit Aðýrlýk,Ücretli,38,,38,38,,38,0,100.00%,1,1,363.77351,,120528,,406.40598,35973,2,440.025,88
201650248,HASAN KALYONCU ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=201650248,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201650248,(Ücretli)(4 Yýllýk),GAZÝANTEP,Vakýf,Ücretli,Örgün,Doldu#,30,,,,120865,,,,363.65397,,,,30,,,,Hukuk Fakültesi,Eþit Aðýrlýk,Ücretli,30,,30,30,,30,0,100.00%,2,2,363.65397,,120865,,382.12476,77352,3,419.857,84
110410265,ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=110410265,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110410265,(Ýngilizce)(4 Yýllýk),ADANA,Devlet,Ücretsiz,Örgün,Doldu#,52,,,,127339,,,,361.27212,,,,52,,,,Ýnsan ve Toplum Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,40,1,52,40,1,52,0,100.00%,2,1,361.27212,,127339,,395.32271,52665,4,432.865,86.6
105390412,ÝNÖNÜ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=105390412,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105390412,(4 Yýllýk),MALATYA,Devlet,Ücretsiz,Örgün,Doldu#,40,,,,132246,,,,359.50573,,,,40,,,,Fen-Edebiyat Fakültesi,Eþit Aðýrlýk,Ücretsiz,30,1,40,30,1,40,0,100.00%,1,,359.50573,,132246,,385.79561,69975,2,432.29,86.5
204090307,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090307,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090307,(%50 Ýndirimli)(4 Yýllýk),KONYA,Vakýf,%50 Ýndirimli,Örgün,Doldu#,8,,,,134225,,,,358.79847,,,,8,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,%50 Ýndirimli,8,,8,8,,8,0,100.00%,,,358.79847,,134225,,373.83449,95641,,444.775,89
203490293,ÝSTANBUL TÝCARET ÜNÝVERSÝTESÝ,Ýþletme Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=203490293,Uluslararasý Ticaret ve Finansman (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203490293,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu,6,,,,141667,,,,356.25745,,,,7,,,,Ýþletme Fakültesi,Eþit Aðýrlýk,Burslu,5,,7,5,,6,1,85.70%,,,356.25745,,141667,,376.08384,90601,,415.734,83.1
105590223,ÝSTANBUL TEKNÝK ÜNÝVERSÝTESÝ,Ýþletme Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=105590223,Ekonomi,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105590223,(Ýngilizce)(KKTC Uyruklu)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,1,,,,150840,,,,353.23006,,,,1,,,,Ýþletme Fakültesi,Eþit Aðýrlýk,Ücretsiz,1,,1,1,,1,0,100.00%,,,353.23006,,150840,,353.23006,150840,,473.333,94.7
203590266,ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=203590266,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203590266,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝZMÝR,Vakýf,%50 Ýndirimli,Örgün,Doldu#,56,,,,155218,,,,351.87287,,,,56,,,,Fen-Edebiyat Fakültesi,Eþit Aðýrlýk,%50 Ýndirimli,56,,56,56,,56,0,100.00%,,,351.87287,,155218,,412.15099,28731,1,449.922,90
204090398,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090398,Uluslararasý Ticaret ve Lojistik (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090398,(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu,6,,,,162062,,,,349.76753,,,,7,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,Burslu,5,,7,5,,6,1,85.70%,,,349.76753,,162062,,361.48433,126737,,427.579,85.5
111570406,MALATYA TURGUT ÖZAL ÜNÝVERSÝTESÝ,Sosyal ve Beþeri Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=111570406,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=111570406,(4 Yýllýk),MALATYA,Devlet,Ücretsiz,Örgün,Doldu#,40,,,,165229,,,,348.80625,,,,40,,,,Sosyal ve Beþeri Bilimler Fakültesi,Eþit Aðýrlýk,Ücretsiz,30,1,40,30,1,40,0,100.00%,2,2,348.80625,,165229,,386.85211,67910,5,407.506,81.5
206190561,YEDÝTEPE ÜNÝVERSÝTESÝ,Bilgisayar ve Biliþim Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=206190561,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=206190561,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,66,,,,172475,,,,346.70849,,,,66,,,,Bilgisayar ve Biliþim Bilimleri Fakültesi,Eþit Aðýrlýk,%50 Ýndirimli,66,,66,66,,66,0,100.00%,1,1,346.70849,,172475,,456.61437,5144,3,447.654,89.5
208310124,KONYA GIDA VE TARIM ÜNÝVERSÝTESÝ,Sosyal ve Beþeri Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=208310124,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=208310124,(Ýngilizce)(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu#,8,,,,174253,,,,346.20899,,,,8,,,,Sosyal ve Beþeri Bilimler Fakültesi,Eþit Aðýrlýk,Burslu,6,,8,6,,8,0,100.00%,,,346.20899,,174253,,381.77908,78085,1,416.239,83.2
112190228,TRABZON ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,https://yokatlas.yok.gov.tr/lisans.php?y=112190228,Yönetim Biliþim Sistemleri (Yüksekokul),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=112190228,(4 Yýllýk),TRABZON,Devlet,Ücretsiz,Örgün,Doldu#,32,,,,197369,,,,340.02205,,,,32,,,,Uygulamalý Bilimler Yüksekokulu,Eþit Aðýrlýk,Ücretsiz,30,1,32,30,1,32,0,100.00%,,,340.02205,,197369,,385.47466,70610,,428.474,85.7
203490286,ÝSTANBUL TÝCARET ÜNÝVERSÝTESÝ,Ýþletme Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=203490286,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203490286,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,25,,,,207923,,,,337.38746,,,,25,,,,Ýþletme Fakültesi,Eþit Aðýrlýk,%50 Ýndirimli,25,,25,25,,25,0,100.00%,2,2,337.38746,,207923,,371.77696,100418,1,401.707,80.3
204090356,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090356,Sosyoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090356,(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu,5,,,,209991,,,,336.87867,,,,6,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,Burslu,4,,6,4,,5,1,83.30%,1,,336.87867,,209991,,347.11523,171096,1,413.187,82.6
103990294,FIRAT ÜNÝVERSÝTESÝ,Ýktisadi ve Ýdari Bilimler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=103990294,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=103990294,(4 Yýllýk),ELAZIÐ,Devlet,Ücretsiz,Örgün,Doldu#,40,,,,220932,,,,334.2521,,,,40,,,,Ýktisadi ve Ýdari Bilimler Fakültesi,Eþit Aðýrlýk,Ücretsiz,30,1,40,31,,40,0,100.00%,1,1,334.2521,,220932,,395.56706,52267,4,413.252,82.7
204090279,KTO KARATAY ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",https://yokatlas.yok.gov.tr/lisans.php?y=204090279,Ýþletme,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204090279,(Burslu)(4 Yýllýk),KONYA,Vakýf,Burslu,Örgün,Doldu,6,,,,234207,,,,331.23348,,,,7,,,,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Eþit Aðýrlýk,Burslu,5,,7,5,,6,1,85.70%,1,,331.23348,,234207,,350.97917,158071,,440.965,88.2
201290516,DOÐUÞ ÜNÝVERSÝTESÝ,Sanat ve Tasarým Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=201290516,Grafik,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201290516,(Ýngilizce)(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,4,,,,236398,,,,330.74194,,,,4,,,,Sanat ve Tasarým Fakültesi,Eþit Aðýrlýk,Burslu,3,,4,3,,4,0,100.00%,,,330.74194,,236398,,358.77654,134275,1,447.935,89.6
204890104,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Ýþletme Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=204890104,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204890104,(Ýngilizce)(%25 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%25 Ýndirimli,Örgün,Doldu#,32,,,,238588,,,,330.25651,,,,32,,,,Ýþletme Fakültesi,Eþit Aðýrlýk,%25 Ýndirimli,32,,32,32,,32,0,100.00%,1,,330.25651,,238588,,454.73284,5463,1,443.491,88.7
105490183,ÝSTANBUL MEDENÝYET ÜNÝVERSÝTESÝ,Siyasal Bilgiler Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=105490183,Maliye,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105490183,(Ýngilizce)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,32,,,,239444,,,,330.08092,,,,32,,,,Siyasal Bilgiler Fakültesi,Eþit Aðýrlýk,Ücretsiz,30,1,32,31,,32,0,100.00%,2,1,330.08092,,239444,,379.53996,82935,3,417.344,83.5
