Program ID,YÖK Atlas Baðlantýsý,Üniversite,Fakülte,Program Adý,Program Kabul Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,Üniversite Türü,Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjaný,2022 Yýlý Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Fakülte / Yüksekokul,Sayýsal Puanlarý.Puan Türü,Burs Türü,2023 Yýlý Genel Kontenjan,2023 Yýlý  Okul Birincisi Kontenjaný,2023 Yýlý Toplam Kontenjan,2023 Yýlý Genel Kontenjana Yerleþen,2023 Yýlý  Okul Birincisi Kontenjanýna Yerleþen,2023 Yýlý Toplam Yerleþen,2023 Yýlý Boþ Kalan Kontenjan,2023 Yýlý Ýlk Yerleþme Oraný,2023 Yýlý Yerleþip Kayýt Yaptýrmayan,2023 Yýlý Ek Yerleþen,"2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Puaný","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný","2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *",2023 Yýlý TBS 0.12 Katsayý Tavan Puaný,"2023 Yýlý 0,12 katsayý ile Tavan Baþarý Sýrasý",2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý,2023 Yýlýnda Yerleþenlerin Ortalama OBP'si,2023 Yýlýnda Yerleþenlerin Ortalama Diploma Notu
210200367,https://yokatlas.yok.gov.tr/lisans.php?y=210200367,ANTALYA BELEK ÜNÝVERSÝTESÝ,Mühendislik-Mimarlýk Fakültesi,Yazýlým Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=210200367,(Ücretli)(4 Yýllýk),ANTALYA,Vakýf,Ücretli,Örgün,Dolmadý,,,,,,,,,,,,,2,,,,Mühendislik-Mimarlýk Fakültesi,Sayýsal,Ücretli,2,,2,,,,2,0.00%,1,,,,,,,,,,
301610020,https://yokatlas.yok.gov.tr/lisans.php?y=301610020,ARKIN YARATICI SANATLAR VE TASARIM ÜNÝVERSÝTESÝ,Tasarým Fakültesi,Mimarlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=301610020,(Ýngilizce)(Burslu)(4 Yýllýk),KKTC-GÝRNE,KKTC,Burslu,Örgün,Dolmadý,,,1,,,,,,,,,,10,10,3,15,Tasarým Fakültesi,Sayýsal,Burslu,10,,10,,,,10,0.00%,,,,,,,,,,,
101370307,https://yokatlas.yok.gov.tr/lisans.php?y=101370307,ARTVÝN ÇORUH ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101370307,(4 Yýllýk),ARTVÝN,Devlet,Ücretsiz,Örgün,Dolmadý,4,,,,,,,,,,,,36,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,35,1,36,4,,4,32,11.10%,,2,308.52914,,297041,,343.58135,202.072,,432.131,86.4
101490551,https://yokatlas.yok.gov.tr/lisans.php?y=101490551,ATATÜRK ÜNÝVERSÝTESÝ,Ziraat Fakültesi,Bitki Koruma,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101490551,(KKTC Uyruklu)(4 Yýllýk),ERZURUM,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,1,,,Ziraat Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
101490502,https://yokatlas.yok.gov.tr/lisans.php?y=101490502,ATATÜRK ÜNÝVERSÝTESÝ,Kazým Karabekir Eðitim Fakültesi,Biyoloji Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101490502,(4 Yýllýk),ERZURUM,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,21,21,,,Kazým Karabekir Eðitim Fakültesi,Sayýsal,Ücretsiz,20,1,21,,,,21,0.00%,,,,,,,,,,,
101410472,https://yokatlas.yok.gov.tr/lisans.php?y=101410472,ATATÜRK ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Çevre Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101410472,(4 Yýllýk),ERZURUM,Devlet,Ücretsiz,Örgün,Dolmadý,,1,,,,,,,,,,,41,41,16,26,Mühendislik Fakültesi,Sayýsal,Ücretsiz,40,1,41,,,,41,0.00%,,,,,,,,,,,
101490495,https://yokatlas.yok.gov.tr/lisans.php?y=101490495,ATATÜRK ÜNÝVERSÝTESÝ,Kazým Karabekir Eðitim Fakültesi,Kimya Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101490495,(4 Yýllýk),ERZURUM,Devlet,Ücretsiz,Örgün,Dolmadý,5,10,,,,,,,,,,,26,21,,,Kazým Karabekir Eðitim Fakültesi,Sayýsal,Ücretsiz,25,1,26,5,,5,21,19.20%,,,309.20667,,294758,,323.37114,251.643,,431.393,86.3
101490845,https://yokatlas.yok.gov.tr/lisans.php?y=101490845,ATATÜRK ÜNÝVERSÝTESÝ,Kazým Karabekir Eðitim Fakültesi,Matematik Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101490845,(KKTC Uyruklu)(4 Yýllýk),ERZURUM,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,,,,Kazým Karabekir Eðitim Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
200390158,https://yokatlas.yok.gov.tr/lisans.php?y=200390158,AVRASYA ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Ýnþaat Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=200390158,(%50 Ýndirimli)(4 Yýllýk),TRABZON,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,,,,,,,,,,,,,17,17,15,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,%50 Ýndirimli,17,,17,,,,17,0.00%,,,,,,,,,,,
200390159,https://yokatlas.yok.gov.tr/lisans.php?y=200390159,AVRASYA ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Mimarlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=200390159,(%50 Ýndirimli)(4 Yýllýk),TRABZON,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,,,,,,,,,,,,,17,17,17,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,%50 Ýndirimli,17,,17,,,,17,0.00%,,,,,,,,,,,
301710077,https://yokatlas.yok.gov.tr/lisans.php?y=301710077,BAHÇEÞEHÝR KIBRIS ÜNÝVERSÝTESÝ,Mimarlýk ve Mühendislik Fakültesi,Bilgisayar Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=301710077,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),KKTC-LEFKOÞA,KKTC,%50 Ýndirimli,Örgün,Dolmadý,2,,,,,,,,,,,,21,,,,Mimarlýk ve Mühendislik Fakültesi,Sayýsal,%50 Ýndirimli,21,,21,2,,2,19,9.50%,,,319.63289,,262239,,371.30391,150.737,,435.952,87.2
301710014,https://yokatlas.yok.gov.tr/lisans.php?y=301710014,BAHÇEÞEHÝR KIBRIS ÜNÝVERSÝTESÝ,Mimarlýk ve Mühendislik Fakültesi,Mimarlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=301710014,(Ýngilizce)(Burslu)(4 Yýllýk),KKTC-LEFKOÞA,KKTC,Burslu,Örgün,Dolmadý,,1,,,,,,,,,,,10,10,3,10,Mimarlýk ve Mühendislik Fakültesi,Sayýsal,Burslu,10,,10,,,,10,0.00%,,,,,,,,,,,
301710028,https://yokatlas.yok.gov.tr/lisans.php?y=301710028,BAHÇEÞEHÝR KIBRIS ÜNÝVERSÝTESÝ,Mimarlýk ve Mühendislik Fakültesi,Yazýlým Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=301710028,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),KKTC-LEFKOÞA,KKTC,%50 Ýndirimli,Örgün,Dolmadý,4,1,,,,,,,,,,,9,6,,,Mimarlýk ve Mühendislik Fakültesi,Sayýsal,%50 Ýndirimli,9,,9,4,,4,5,44.40%,,2,308.63255,,296690,,347.40946,194.051,,421.408,84.3
101590259,https://yokatlas.yok.gov.tr/lisans.php?y=101590259,BALIKESÝR ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Çevre Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101590259,(4 Yýllýk),BALIKESÝR,Devlet,Ücretsiz,Örgün,Dolmadý,1,,,,,,,,,,,,31,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,30,1,31,1,,1,30,3.20%,,,316.16288,,272586,,316.16288,272.586,,384.049,76.8
101790177,https://yokatlas.yok.gov.tr/lisans.php?y=101790177,BATMAN ÜNÝVERSÝTESÝ,Mühendislik-Mimarlýk Fakültesi,Petrol ve Doðalgaz Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101790177,(Ýngilizce)(4 Yýllýk),BATMAN,Devlet,Ücretsiz,Örgün,Dolmadý,12,4,,,,,,,,,,,21,21,,,Mühendislik-Mimarlýk Fakültesi,Sayýsal,Ücretsiz,20,1,21,12,,12,9,57.10%,1,1,309.82047,,292627,,355.23665,178.508,,433.124,86.6
101890259,https://yokatlas.yok.gov.tr/lisans.php?y=101890259,BAYBURT ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Fen Bilgisi Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101890259,(4 Yýllýk),BAYBURT,Devlet,Ücretsiz,Örgün,Dolmadý,2,5,,,,,,,,,,,21,31,,,Eðitim Fakültesi,Sayýsal,Ücretsiz,20,1,21,2,,2,19,9.50%,,,328.97527,,236677,,364.61751,161.748,,376.421,75.3
200851604,https://yokatlas.yok.gov.tr/lisans.php?y=200851604,BEYKOZ ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Endüstri Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=200851604,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,3,17,4,,,,,,,,,,25,25,42,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,%50 Ýndirimli,25,,25,3,,3,22,12.00%,1,,310.18488,,291416,,326.59297,242.869,,435.453,87.1
101990050,https://yokatlas.yok.gov.tr/lisans.php?y=101990050,BÝLECÝK ÞEYH EDEBALÝ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Biyomühendislik,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101990050,(4 Yýllýk),BÝLECÝK,Devlet,Ücretsiz,Örgün,Dolmadý,5,1,2,,,,,,,,,,31,31,31,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,30,1,31,5,,5,26,16.10%,,1,313.07405,,282109,,323.4601,251.408,,422.655,84.5
101990085,https://yokatlas.yok.gov.tr/lisans.php?y=101990085,BÝLECÝK ÞEYH EDEBALÝ ÜNÝVERSÝTESÝ,Fen Fakültesi,Ýstatistik ve Bilgisayar Bilimleri,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=101990085,(KKTC Uyruklu)(4 Yýllýk),BÝLECÝK,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,2,,,,Fen Fakültesi,Sayýsal,Ücretsiz,2,,2,,,,2,0.00%,,,,,,,,,,,
102090154,https://yokatlas.yok.gov.tr/lisans.php?y=102090154,BÝNGÖL ÜNÝVERSÝTESÝ,Mühendislik-Mimarlýk Fakültesi,Elektrik-Elektronik Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102090154,(4 Yýllýk),BÝNGÖL,Devlet,Ücretsiz,Örgün,Dolmadý,3,1,,,,,,,,,,,21,21,,,Mühendislik-Mimarlýk Fakültesi,Sayýsal,Ücretsiz,20,1,21,3,,3,18,14.30%,,,312.917,,282594,,327.27949,241.078,,363.25,72.7
102090245,https://yokatlas.yok.gov.tr/lisans.php?y=102090245,BÝNGÖL ÜNÝVERSÝTESÝ,Mühendislik-Mimarlýk Fakültesi,Makine Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102090245,(4 Yýllýk),BÝNGÖL,Devlet,Ücretsiz,Örgün,Dolmadý,1,,,,,,,,,,,,21,,,,Mühendislik-Mimarlýk Fakültesi,Sayýsal,Ücretsiz,20,1,21,1,,1,20,4.80%,,,318.18977,,266453,,318.18977,266.453,,441.85,88.4
207650985,https://yokatlas.yok.gov.tr/lisans.php?y=207650985,BÝRUNÝ ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Biyomedikal Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=207650985,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,6,,,,,,,,,,,,34,,,,Mühendislik ve Doða Bilimleri Fakültesi,Sayýsal,%50 Ýndirimli,34,,34,6,,6,28,17.60%,1,,318.24334,,266300,,384.3618,131.321,,449.54,89.9
207650999,https://yokatlas.yok.gov.tr/lisans.php?y=207650999,BÝRUNÝ ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Elektrik-Elektronik Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=207650999,(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,11,,,,,,,,,,,,34,,,,Mühendislik ve Doða Bilimleri Fakültesi,Sayýsal,%50 Ýndirimli,34,,34,11,,11,23,32.40%,1,4,309.92622,,292265,,389.86286,123.768,,427.665,85.5
100190207,https://yokatlas.yok.gov.tr/lisans.php?y=100190207,BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100190207,(KKTC Uyruklu)(4 Yýllýk),BOLU,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,1,2,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
107390224,https://yokatlas.yok.gov.tr/lisans.php?y=107390224,BURDUR MEHMET AKÝF ERSOY ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Nanobilim ve Nanoteknoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=107390224,(KKTC Uyruklu)(4 Yýllýk),BURDUR,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,,,,Fen-Edebiyat Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
102790287,https://yokatlas.yok.gov.tr/lisans.php?y=102790287,ÇANAKKALE ONSEKÝZ MART ÜNÝVERSÝTESÝ,Saðlýk Bilimleri Fakültesi,Acil Yardým ve Afet Yönetimi (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102790287,(KKTC Uyruklu)(4 Yýllýk),ÇANAKKALE,Devlet,Ücretsiz,Örgün,Dolmadý,,1,,,,,,,,,,,1,2,1,,Saðlýk Bilimleri Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
102890221,https://yokatlas.yok.gov.tr/lisans.php?y=102890221,ÇANKIRI KARATEKÝN ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Gýda Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102890221,(4 Yýllýk),ÇANKIRI,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,27,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,25,1,27,,,,27,0.00%,,,,,,,,,,,
102890214,https://yokatlas.yok.gov.tr/lisans.php?y=102890214,ÇANKIRI KARATEKÝN ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Kimya Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102890214,(4 Yýllýk),ÇANKIRI,Devlet,Ücretsiz,Örgün,Dolmadý,2,,,,,,,,,,,,27,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,25,1,27,2,,2,25,7.40%,,4,308.9249,,295734,,314.19503,278.66,,429.334,85.9
102910279,https://yokatlas.yok.gov.tr/lisans.php?y=102910279,ÇUKUROVA ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Çevre Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102910279,(4 Yýllýk),ADANA,Devlet,Ücretsiz,Örgün,Dolmadý,,4,2,,,,,,,,,,26,21,16,21,Mühendislik Fakültesi,Sayýsal,Ücretsiz,20,1,26,,,,26,0.00%,,,,,,,,,,,
102910313,https://yokatlas.yok.gov.tr/lisans.php?y=102910313,ÇUKUROVA ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Jeoloji Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102910313,(4 Yýllýk),ADANA,Devlet,Ücretsiz,Örgün,Dolmadý,5,1,2,,,,,,,,,,26,21,16,21,Mühendislik Fakültesi,Sayýsal,Ücretsiz,20,1,26,5,,5,21,19.20%,1,,308.36661,,297598,,341.43265,206.716,,421.797,84.4
300190465,https://yokatlas.yok.gov.tr/lisans.php?y=300190465,DOÐU AKDENÝZ ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Bilgisayar ve Öðretim Teknolojileri Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=300190465,(Ýngilizce)(Burslu)(4 Yýllýk),KKTC-GAZÝMAÐUSA,KKTC,Burslu,Örgün,Dolmadý,,,,,,,,,,,,,5,5,5,,Eðitim Fakültesi,Sayýsal,Burslu,5,,5,,,,5,0.00%,,,,,,,,,,,
